"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked"
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/service-level-agreement/",1,1,1,"Apr 24, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"Apr 24, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/customers/",2,2,1,"Apr 17, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Apr 17, 2023",,,1
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 4 times by 1 anonymous user","canto",,,1,"Apr 14, 2023",1,4,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",,,1,"Apr 13, 2023",1,3,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/customer-referral-program/",1,1,1,"Apr 11, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/customer-referral-program/",1,1,1,"Apr 4, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, marketing performance",,,2,"Apr 3, 2023",2,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",,,1,"Mar 29, 2023",1,2,
