"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched","impressions","campaigns"
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, content delivery network",,,2,"May 26, 2023",,2,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/creative-operations-new-york-2023/",1,1,1,"May 25, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/creative-operations-new-york-2023/",1,,1,"May 25, 2023",1,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"May 25, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"May 24, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/creative-operations-new-york-2023/",1,2,1,"May 23, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page clicked a total of 5 times by 1 Anonymous user","https://tenovos.com/creative-operations-new-york-2023/",1,,1,"May 23, 2023",5,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",,,1,"May 23, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","3 keywords researched a total of 4 times by 3 anonymous users","marketing performance, digital asset management, digital asset management system",,,3,"May 22, 2023",,3,4,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 3 times by 2 anonymous users","pim, content delivery network",,,2,"May 21, 2023",,2,3,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 3 times by 2 anonymous users","pim, content delivery network",,,2,"May 20, 2023",,2,3,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"May 19, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 2 times by 2 anonymous users","pim, taxonomy",,,2,"May 18, 2023",,2,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"May 17, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/creative-operations-new-york-2023/",1,2,1,"May 16, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/creative-operations-new-york-2023/",1,,1,"May 16, 2023",3,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","3 keywords researched a total of 4 times by 3 anonymous users","canto, pim, taxonomy",,,3,"May 16, 2023",,3,4,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","4 keywords researched a total of 5 times by 3 anonymous users","taxonomy, digital asset management, digital asset management system, content intelligence",,,3,"May 15, 2023",,4,5,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",,,1,"May 13, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 5 times by 2 anonymous users","Informatica",,,2,"May 12, 2023",,1,5,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 5 times by 2 anonymous users","Informatica, sitecore",,,2,"May 11, 2023",,2,5,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 4 times by 3 anonymous users","taxonomy, content hub",,,3,"May 10, 2023",,2,4,,
