"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","impressions","campaigns"
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","4 keywords researched a total of 4 times by 4 anonymous users","hyland, canto, taxonomy, content hub",4,4,4,"Jun 10, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 8, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","3 keywords researched a total of 8 times by 4 anonymous users","dam europe, widen, sitecore",3,8,4,"Jun 7, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","3 keywords researched a total of 6 times by 4 anonymous users","hyland, pim, marketing performance",3,6,4,"Jun 5, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","3 keywords researched a total of 5 times by 3 anonymous users","pim, aem, marketing performance",3,5,3,"Jun 4, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 3, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","2 keywords researched a total of 6 times by 3 anonymous users","marketing performance, content hub",2,6,3,"Jun 2, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 31, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"May 30, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"May 29, 2023",,,,
