"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked","impressions","campaigns"
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 keywords researched a total of 3 times by 2 anonymous users","marketing performance, content hub",,,2,"May 24, 2023",2,3,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"May 22, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 keywords researched a total of 2 times by 2 anonymous users","pim, digital asset management",,,2,"May 20, 2023",2,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"May 11, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"May 6, 2023",1,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 keywords researched a total of 5 times by 2 anonymous users","smartsheet, marketing performance",,,2,"May 3, 2023",2,5,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/user-adoption-toolkit/, https://tenovos.com/thank-you-for-downloading-our-user-adoption-toolkit/",2,2,1,"May 2, 2023",,,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/user-adoption-toolkit/",1,,1,"May 2, 2023",,,1,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"May 1, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Apr 30, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Apr 28, 2023",1,1,,,
