"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 8 times by 2 anonymous users","opentext reviews, opentext",2,8,2,"May 23, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"May 18, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 4 times by 1 anonymous user","pim",1,4,1,"May 16, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 15, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"May 14, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 2 times by 2 anonymous users","pim, canto",2,2,2,"May 13, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 12, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","4 keywords researched a total of 7 times by 4 anonymous users","pim, Informatica, digital asset management, content intelligence",4,7,4,"May 11, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 2 times by 2 anonymous users","pim, taxonomy",2,2,2,"May 9, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 5, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"May 4, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 3, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/ai-content-personalization/",,,1,"May 2, 2023",1,1,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/ai-content-personalization/",,,1,"May 2, 2023",1,,1,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","3 keywords researched a total of 4 times by 3 anonymous users","opentext, marketing performance, taxonomy",3,4,3,"May 1, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Apr 30, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 29, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 28, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 4 times by 1 anonymous user","taxonomy",1,4,1,"Apr 26, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 20, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 2 times by 2 anonymous users","Informatica, taxonomy",2,2,2,"Apr 18, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 3 times by 2 anonymous users","taxonomy, content delivery network",2,3,2,"Apr 17, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 13, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 3 times by 3 anonymous users","hyland",1,3,3,"Apr 12, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 6 times by 1 anonymous user","taxonomy",1,6,1,"Apr 11, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 5 times by 1 anonymous user","dam new york",1,5,1,"Apr 10, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, taxonomy",2,2,2,"Apr 8, 2023",,,,,
