"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","impressions","campaigns"
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Apr 25, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Apr 24, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 23, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 20, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 19, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 3 times by 3 anonymous users","content delivery network, content hub",2,3,3,"Apr 18, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 4 times by 4 anonymous users","content delivery network, taxonomy",2,4,4,"Apr 17, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 12, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 2 times by 2 anonymous users","aem assets, marketing performance",2,2,2,"Apr 11, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 14 times by 1 anonymous user","taxonomy",1,14,1,"Apr 6, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 5, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 4, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 15 times by 3 anonymous users","hyland, taxonomy",2,15,3,"Apr 3, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 5 times by 2 anonymous users","content hub",1,5,2,"Apr 1, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 4 times by 2 anonymous users","Informatica, content hub",2,4,2,"Mar 31, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, taxonomy",2,2,2,"Mar 28, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 23, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 22, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"Mar 20, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 18, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 15 times by 5 anonymous users","widen",1,15,5,"Mar 16, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 2 times by 2 anonymous users","aem assets, taxonomy",2,2,2,"Mar 15, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, content hub",2,2,2,"Mar 11, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 9, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 4 times by 2 anonymous users","hyland, taxonomy",2,4,2,"Mar 8, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 5 times by 1 anonymous user","Informatica",1,5,1,"Mar 6, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 6 times by 2 anonymous users","Informatica, taxonomy",2,6,2,"Mar 5, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/tenovos-rfp-template/",,,1,"Mar 4, 2023",1,1,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 3, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","12 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",,,12,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","26 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",,,26,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","25 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",,,25,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Feb 28, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","27 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",,,27,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 4 times by 2 anonymous users","sitecore, marketing performance",2,4,2,"Feb 27, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 25, 2023",,,2,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 25, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","17 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",,,17,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","9 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",,,9,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","14 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",,,14,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","3 keywords researched a total of 5 times by 2 anonymous users","Informatica, digital asset management trends, digital asset management",3,5,2,"Feb 22, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","15 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",,,15,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","8 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",,,8,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 20, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 18, 2023",,,4,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","23 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",,,23,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","17 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",,,17,1
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 16, 2023",,,,
