"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns","pagesViewed","timesViewed"
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 4 times by 3 anonymous users","pim, marketing performance",2,4,3,"May 20, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"May 19, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 6 times by 2 anonymous users","pim, content hub",2,6,2,"May 18, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 8 times by 2 anonymous users","pim, content hub",2,8,2,"May 17, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 8 times by 2 anonymous users","pim",1,8,2,"May 16, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 3 times by 2 anonymous users","widen, pim",2,3,2,"May 15, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 13, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 11, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"May 3, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 2 times by 2 anonymous users","Informatica, hyland",2,2,2,"May 2, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 4 times by 2 anonymous users","marketing performance",1,4,2,"Apr 30, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 2 times by 2 anonymous users","Salsify, marketing performance",2,2,2,"Apr 29, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 28, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 27, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 4 times by 1 anonymous user","marketing performance",1,4,1,"Apr 26, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 5 times by 1 anonymous user","canto",1,5,1,"Apr 25, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 24, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 23, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 22, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Apr 18, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 16, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 14, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 12, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","3 keywords researched a total of 3 times by 3 anonymous users","dam new york, digital asset manager, best dam",3,3,3,"Apr 10, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 6 times by 2 anonymous users","widen, content hub",2,6,2,"Apr 9, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 7, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Apr 6, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 3 times by 3 anonymous users","hyland, taxonomy",2,3,3,"Apr 5, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 3 times by 3 anonymous users","hyland, canto",2,3,3,"Apr 4, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 4 times by 4 anonymous users","hyland, taxonomy",2,4,4,"Apr 3, 2023",,,,
